Timestamp,State_Name,Region,Electricity_Category,Hourly_Load_MW,Power_Consumption_kWh,Electricity_Generation_MW,Temperature_C,Humidity_Percent,Wind_Speed_kmph,Cloud_Cover_Percent,Solar_Radiation_Wm2,Weather_Condition,Consumer_ID,Smart_Meter_Reading,Load_Type,Tariff_Type,Predicted_Load_MW,Load_Consumption_Ratio,Temperature_Load_Interaction,Peak_Load_Index
2021-01-01 00:00:00, Delhi , East , Industrial ,4049.67,386.24,1659.05,22.61,61.19,21.57,5.57,995.98, Stormy , CUST_100000 ,276.31, Normal , Residential ,1844.88,0.23266769073220686,91563.0387,0.8650649099202851
2021-01-01 01:00:00, Gujarat , North , Domestic ,7759.85,789.58,6392.58,30.68,76.54,3.76,16.63,407.5, Stormy , CUST_100001 ,278.07, Peak , Residential ,2112.49,0.12349575668092055,238072.198,1.6576101117485929
2021-01-01 02:00:00, Gujarat , South , Domestic ,6347.33,140.46,2054.21,32.71,75.91,22.08,9.82,449.24, Sunny , CUST_100002 ,407.48, Normal , Industrial ,1597.93,0.0683433809683682,207621.1643,1.3558765170209728
2021-01-01 03:00:00, Kerala , East , Domestic ,3746.82,933.51,1490.1,27.76,75.25,20.43,30.79,746.08, Stormy , CUST_100003 ,296.12, Normal , Residential ,5125.74,0.6260545905707197,104011.72320000001,0.8003720070493454
2021-01-01 04:00:00, Tamil Nadu , East , Commercial ,2493.92,927.88,8365.18,28.23,30.66,15.52,91.44,232.61, Stormy , CUST_100004 ,278.63, Normal , Commercial ,3518.52,0.11090844327996767,70403.3616,0.5327354278616276
2021-01-01 05:00:00, Maharashtra , South , Industrial ,7639.35,387.68,6822.79,35.03,68.64,15.63,52.64,146.95, Sunny , CUST_100005 ,53.76, Off-Peak , Commercial ,1527.18,0.05681300274480897,267606.4305,1.6318696633551697
2021-01-01 06:00:00, Delhi , East , Domestic ,6215.31,498.33,4074.51,25.94,32.47,13.14,46.29,771.95, Stormy , CUST_100006 ,349.2, Peak , Commercial ,6430.43,0.12227426751498584,161225.14140000002,1.3276752390384026
2021-01-01 07:00:00, Delhi , North , Industrial ,1606.83,842.76,7302.86,37.29,82.82,20.5,84.47,263.51, Stormy , CUST_100007 ,424.06, Off-Peak , Residential ,1373.3,0.11538556325011706,59918.6907,0.34324086881331356
2021-01-01 08:00:00, Kerala , North , Commercial ,7060.23,349.45,6952.51,26.79,87.83,9.28,84.86,484.58, Cloudy , CUST_100008 ,434.39, Peak , Industrial ,3365.19,0.050255194858424015,189143.5617,1.5081617092174162
2021-01-01 09:00:00, Tamil Nadu , South , Commercial ,3249.51,464.55,9449.8,29.84,59.07,15.14,69.83,279.53, Rainy , CUST_100009 ,162.85, Off-Peak , Residential ,7861.03,0.04915456892538198,96965.3784,0.6941397880407701
2021-01-01 10:00:00, Karnataka , North , Industrial ,8791.58,532.48,3432.98,32.54,74.57,14.77,92.1,451.89, Sunny , CUST_100010 ,496.44, Normal , Industrial ,8370.31,0.15506205627289618,286078.0132,1.8780017534161992
2021-01-01 11:00:00, Tamil Nadu , West , Commercial ,8563.37,112.39,4941.88,34.85,41.69,21.95,67.55,428.08, Stormy , CUST_100011 ,61.04, Normal , Industrial ,7065.36,0.022737756125983232,298433.44450000004,1.8292529755916092
2021-01-01 12:00:00, Maharashtra , West , Commercial ,4501.35,897.61,2609.04,29.5,64.45,21.75,82.03,731.5, Stormy , CUST_100012 ,58.52, Normal , Residential ,6650.39,0.34390660679529816,132789.825,0.9615499367280977
2021-01-01 13:00:00, Karnataka , North , Domestic ,3115.92,258.1,7390.24,37.74,70.2,10.33,62.46,620.11, Sunny , CUST_100013 ,409.42, Off-Peak , Industrial ,8840.95,0.03491971577164319,117594.82080000002,0.6656031365812065
2021-01-01 14:00:00, Maharashtra , West , Industrial ,6086.91,712.64,1673.37,21.43,49.41,23.53,43.64,219.27, Stormy , CUST_100014 ,181.35, Normal , Commercial ,1017.42,0.4256167991543088,130442.4813,1.3002472425760327
2021-01-01 15:00:00, Tamil Nadu , South , Industrial ,1641.71,378.06,2617.93,36.24,87.9,23.33,20.37,338.26, Stormy , CUST_100015 ,55.47, Off-Peak , Industrial ,6826.92,0.1443566647447622,59495.570400000004,0.35069171395823145
2021-01-01 16:00:00, Maharashtra , East , Industrial ,5337.41,947.69,7423.88,30.65,67.95,10.93,45.58,539.38, Rainy , CUST_100016 ,307.0, Normal , Industrial ,6207.86,0.12763707965650622,163591.61649999997,1.1401437897057363
2021-01-01 17:00:00, Tamil Nadu , South , Commercial ,3574.26,349.6,4457.61,38.43,60.25,7.81,52.34,459.57, Sunny , CUST_100017 ,497.86, Peak , Industrial ,4659.12,0.07841008744877889,137358.8118,0.7635108304952448
2021-01-01 18:00:00, Kerala , South , Industrial ,7519.16,867.11,3482.97,33.39,38.69,20.39,28.47,440.69, Rainy , CUST_100018 ,386.35, Normal , Industrial ,5360.81,0.24888561038126047,251064.7524,1.6061954352024266
2021-01-01 19:00:00, Kerala , West , Industrial ,2880.88,634.84,2104.38,36.72,37.61,24.25,66.98,967.41, Sunny , CUST_100019 ,369.91, Off-Peak , Residential ,3929.32,0.30153226495929475,105785.9136,0.6153953773248564
2021-01-01 20:00:00, Gujarat , South , Domestic ,1565.29,949.72,4034.52,37.04,67.67,6.1,12.77,790.84, Rainy , CUST_100020 ,107.52, Peak , Residential ,7267.59,0.2353401792086274,57978.3416,0.33436735656217
2021-01-01 21:00:00, Karnataka , North , Domestic ,3777.66,182.5,3605.67,25.32,48.83,4.21,66.77,864.79, Cloudy , CUST_100021 ,295.2, Normal , Industrial ,7137.01,0.050600692605644544,95650.3512,0.8069598529286248
2021-01-01 22:00:00, Delhi , East , Domestic ,5360.25,276.3,7302.71,36.61,68.41,23.16,69.94,362.52, Sunny , CUST_100022 ,227.26, Normal , Industrial ,1837.89,0.03783008909170819,196238.7525,1.1450227261481079
2021-01-01 23:00:00, Karnataka , West , Domestic ,8021.59,772.89,3786.95,23.37,71.94,20.42,66.11,983.39, Rainy , CUST_100023 ,186.25, Off-Peak , Industrial ,3330.59,0.2040391240644676,187464.5583,1.7135213562506229
